title,type,radar_notes,radar_peak,radar_scratch,radar_soflan,radar_charge,radar_chord,notes,radar_top
鉄甲乙女 -under the steel-,N,38.12,31.42,2.93,0,0,10.8,474,NOTES
鉄甲乙女 -under the steel-,H,66.44,62.85,13.47,0,0,61.5,826,NOTES
鉄甲乙女 -under the steel-,A,88.32,82.85,19.34,0,0,100.86,1098,CHORD
"You'll say ""Now!""",N,61.27,57.14,28.38,0,0,27.93,629,NOTES
"You'll say ""Now!""",H,93.7,100,63.87,0,0,42.12,962,PEAK
"You'll say ""Now!""",A,124.29,121.05,31.93,0,0,93.29,1276,NOTES
ハリツヤランデヴー,N,41.48,38.57,0,0,0,8.8,482,NOTES
ハリツヤランデヴー,H,92.77,80,23.2,0,0,101.33,1078,CHORD
ハリツヤランデヴー,A,107.66,82.85,14.42,0,0,113.57,1251,CHORD
neogenesis,N,41.45,44.28,8.98,0,0,20.65,504,PEAK
neogenesis,H,56.09,54.28,11.98,0,0,42.84,682,NOTES
neogenesis,A,71.05,72.85,14.38,0,0,44.59,864,PEAK
neogenesis,L,97.04,103.94,16.17,0,0,89.06,1180,PEAK
THE SHINING POLARIS(kors k mix),N,37.24,38.57,25.87,0,0,7.17,493,PEAK
THE SHINING POLARIS(kors k mix),H,58.55,51.42,46.23,0,0,18.21,775,NOTES
THE SHINING POLARIS(kors k mix),A,80.15,72.85,53.94,0,0,37.64,1061,NOTES
Bahram Attack-猫叉Master Remix-,N,38.93,41.42,15.37,0,0,11.57,535,PEAK
Bahram Attack-猫叉Master Remix-,H,72.55,67.14,19.61,0,0,58.86,997,NOTES
Bahram Attack-猫叉Master Remix-,A,95.63,103.94,15.37,0,0,103.43,1314,PEAK
Bahram Attack-猫叉Master Remix-,L,119.35,126.31,51.96,0,0,136.94,1640,CHORD
Cyber Force -DJ Yoshitaka Remix-,N,40.03,45.71,58.01,0,0,20.11,553,SCRATCH
Cyber Force -DJ Yoshitaka Remix-,H,68.33,75.71,43.77,0,0,41.85,944,PEAK
Cyber Force -DJ Yoshitaka Remix-,A,92.51,92.85,58.01,0,0,85.68,1278,PEAK
PSYCHE PLANET-GT,N,54.23,52.85,46.87,0,0,21.35,725,NOTES
PSYCHE PLANET-GT,H,87.82,78.57,45.23,0,0,40.53,1174,NOTES
PSYCHE PLANET-GT,A,101.74,87.14,52.32,0,0,75.91,1360,NOTES
THANK YOU FOR PLAYING,N,38.2,37.14,15.54,44.92,0,13.51,412,SOFLAN
THANK YOU FOR PLAYING,H,79.57,77.14,16.21,69.23,0,40.45,858,NOTES
THANK YOU FOR PLAYING,A,101.08,128.94,18.24,80.35,0,82.09,1090,PEAK
THANK YOU FOR PLAYING,L,142.25,127.63,22.97,80.34,0,117.67,1534,NOTES
thunder HOUSE NATION Remix,N,44.44,42.85,12.5,0,0,11.49,544,NOTES
thunder HOUSE NATION Remix,H,68.46,58.57,27.38,0,0,43.5,838,NOTES
thunder HOUSE NATION Remix,A,101.47,90,50,0,0,105.9,1242,CHORD
thunder HOUSE NATION Remix,L,159.45,127.63,17.85,0,0,176.21,1954,CHORD
凛として咲く花の如く,N,52.64,51.42,14.83,0,0,15.4,672,NOTES
凛として咲く花の如く,H,85.15,84.28,13.12,0,0,68.84,1087,NOTES
凛として咲く花の如く,A,109.51,95.71,18.26,0,0,114.07,1398,CHORD
凛として咲く花の如く,L,124.94,103.94,19.97,0,0,132.36,1595,CHORD
Go Beyond!!,N,45.14,65.71,65.53,0,0,43.64,547,PEAK
Go Beyond!!,H,74.18,101.31,63.73,0,0,81.22,899,PEAK
Go Beyond!!,A,96.22,176.78,63.73,0,0,103.08,1166,PEAK
SOLITON BEAM,N,56.8,54.28,7.81,0,0,12.43,741,NOTES
SOLITON BEAM,H,82.09,68.57,7.81,0,0,51.79,1071,NOTES
SOLITON BEAM,A,90.99,84.28,8.37,0,0,71.21,1187,NOTES
Just a Little Smile,N,33.41,31.42,61,0,0,14.45,415,SCRATCH
Just a Little Smile,H,54.99,52.85,84.47,0,0,34.47,683,SCRATCH
Just a Little Smile,A,102.41,97.14,138.84,0,0,100.44,1272,SCRATCH
Elisha,N,36.75,41.42,19.12,0,21.71,7.8,462,PEAK
Elisha,H,59.98,75.71,19.7,0,79.21,18.6,754,CHARGE
Elisha,A,91.64,110.52,19.12,0,170.34,66.42,1152,CHARGE
たからもの,N,47.08,54.28,16.99,0,0,32.03,646,PEAK
たからもの,H,68.73,64.28,19.11,0,0,72.04,943,CHORD
たからもの,A,81.85,82.85,19.11,0,0,100.88,1123,CHORD
たからもの,L,130.17,107.89,57.35,0,0,171.41,1786,CHORD
MIRACLE MEETS,N,38.95,47.14,13.95,0,8.9,9,488,PEAK
MIRACLE MEETS,H,64.42,94.28,17.44,0,118.16,49.1,807,CHARGE
MIRACLE MEETS,A,90.04,119.73,24.42,0,176.2,94.12,1128,CHARGE
NoN-Fiction Story!,N,32.67,30,20.5,0,0,4.4,360,NOTES
NoN-Fiction Story!,H,63.81,61.42,23.14,0,0,29.25,703,NOTES
NoN-Fiction Story!,A,100.94,84.28,29.1,0,0,84.91,1112,NOTES
DROP,N,35.53,35.71,20.83,0,0,5.85,435,PEAK
DROP,H,91.09,82.85,23.8,0,0,48.56,1115,NOTES
DROP,A,109.23,119.73,32.14,0,0,88.58,1337,PEAK
Roots of my way!,N,33.54,38.57,25.15,0,0,20.25,447,PEAK
Roots of my way!,H,51.25,55.71,29.52,0,0,34.36,683,PEAK
Roots of my way!,A,76.92,81.42,31.71,0,0,87.71,1025,CHORD
G59,N,69.9,68.57,43.84,0,0,63.53,906,NOTES
G59,H,93.36,84.28,43.84,0,0,72.97,1210,NOTES
G59,A,154.23,142.1,42.16,0,0,158.72,2000,CHORD
DOMINION,N,50.33,47.14,45.62,0,0,8,635,NOTES
DOMINION,H,94.65,84.28,61.22,0,0,81.67,1194,NOTES
DOMINION,A,129.69,142.1,64.68,0,0,135.63,1636,PEAK
GALGALIM,N,65,52.85,38.76,0,0,40.28,733,NOTES
GALGALIM,H,91.87,91.42,73.01,0,0,58.08,1036,NOTES
GALGALIM,A,107.13,101.31,73.66,0,0,74.18,1208,NOTES
EXUSIA,N,49.21,41.42,42.24,0,0,10.31,628,NOTES
EXUSIA,H,111.04,100,58.8,0,0,82.96,1417,NOTES
EXUSIA,A,153.83,132.89,69.65,0,0,142.11,1964,NOTES
with me...,N,36.05,32.85,29.37,0,0,2.2,465,NOTES
with me...,H,71.09,62.85,31.63,0,0,23.11,917,NOTES
with me...,A,99,85.71,33.89,0,0,78.37,1277,NOTES
フェティッシュペイパー～脇の汗回転ガール～,N,33.57,30,4.32,0,0,9.31,396,NOTES
フェティッシュペイパー～脇の汗回転ガール～,H,51.12,50,4.32,0,0,18.29,603,NOTES
フェティッシュペイパー～脇の汗回転ガール～,A,77.49,68.57,4.32,0,0,56.75,914,NOTES
being torn the sky,N,26.52,30,6.42,0,0,7.8,331,PEAK
being torn the sky,H,49.11,51.42,6.42,0,0,30.11,613,PEAK
being torn the sky,A,79.96,85.71,5.83,0,0,99.18,998,CHORD
She is my wife,N,29.95,42.85,28.04,5.08,0,11.55,358,PEAK
She is my wife,H,67.01,72.85,37.79,7.16,0,43.67,801,PEAK
She is my wife,A,83.83,95.71,36.57,8.23,0,72.3,1002,PEAK
NEW SENSATION -もう、あなたしか見えない-,N,51.87,44.28,18.86,0,25.78,10.65,641,NOTES
NEW SENSATION -もう、あなたしか見えない-,H,84.56,72.85,27.71,0,60,56.5,1045,NOTES
NEW SENSATION -もう、あなたしか見えない-,A,109.81,90,33.01,0,84.37,100.62,1357,NOTES
Raison d'être～交差する宿命～,N,46.34,44.28,29.14,5.55,0,22.43,614,NOTES
Raison d'être～交差する宿命～,H,89.36,82.85,31.34,5.55,0,38.92,1184,NOTES
Raison d'être～交差する宿命～,A,104.84,82.85,56.09,15.93,0,67.69,1389,NOTES
Almagest,N,50.99,45.71,38.65,0,49.42,14.55,519,NOTES
Almagest,H,112.6,95.71,45.81,0,127.05,37.81,1146,CHARGE
Almagest,A,159.87,157.14,50.11,0,164.24,113.27,1629,CHARGE
ワルツ第17番 ト短調”大犬のワルツ”,N,59.11,60,0,162.19,0,13.27,669,SOFLAN
ワルツ第17番 ト短調”大犬のワルツ”,H,95.52,85.71,0,192.6,0,50.11,1214,SOFLAN
ワルツ第17番 ト短調”大犬のワルツ”,A,126.9,115.78,0,200,0,112.89,1684,SOFLAN
London Affairs Beckoned With Money Loved By Yellow Papers.,N,34.19,30,0.61,0,0,4,407,NOTES
London Affairs Beckoned With Money Loved By Yellow Papers.,H,62.41,52.85,0.61,0,0,13.97,743,NOTES
London Affairs Beckoned With Money Loved By Yellow Papers.,A,77.45,64.28,0.61,0,0,40.1,922,NOTES
To the Future,N,24.5,25.71,4.84,0,0,4.6,295,PEAK
To the Future,H,43.02,48.57,5.44,0,0,19.76,518,PEAK
To the Future,A,78.99,70,4.84,0,0,62.42,951,NOTES
バビロニア,N,32.68,34.28,29.34,0,0,8.8,422,PEAK
バビロニア,H,54.6,51.42,36.11,0,0,39.17,705,NOTES
バビロニア,A,72.8,71.42,36.11,0,0,86.53,940,CHORD
Last Burning,N,35.64,31.42,23.44,0,0,3.4,443,NOTES
Last Burning,H,67.58,55.71,33.41,0,0,11.65,840,NOTES
Last Burning,A,96.31,84.28,32.82,0,0,81.03,1197,NOTES
Bad Maniacs,N,54.77,64.28,30.51,0,0,25.91,667,PEAK
Bad Maniacs,H,81.21,92.85,50.25,0,0,47.56,989,PEAK
Bad Maniacs,A,135.99,146.05,59.83,0,0,142.25,1656,PEAK
Programmed Sun,N,43.57,42.85,25.37,0,18.12,12.43,563,NOTES
Programmed Sun,H,74.3,74.28,38.34,0,41.56,46.41,960,NOTES
Programmed Sun,A,101.31,109.21,42.85,0,42.18,100.89,1309,PEAK
D,N,62.1,57.14,41.72,143.66,1.4,32.27,770,SOFLAN
D,H,80.97,88.57,48.18,154.38,2.34,43.46,1004,SOFLAN
D,A,105.89,107.89,53.47,159.06,3.28,87.04,1313,SOFLAN
bloomin' feeling,N,62.55,51.42,43.94,0,28.12,39.29,643,NOTES
bloomin' feeling,H,95.34,80,52.45,0,36.56,97.22,980,CHORD
bloomin' feeling,A,127.73,113.15,52.45,0,40.62,113.88,1313,NOTES
Light Shine,N,39.22,35.71,8.95,0,28.9,3.65,415,NOTES
Light Shine,H,55.01,50,22.72,0,36.26,23.47,582,NOTES
Light Shine,A,93.39,87.14,37.19,0,121.83,99.13,988,CHARGE
DESIRE,N,40.59,35.71,27.28,0,0,9.85,477,NOTES
DESIRE,H,85.44,75.71,47.12,0,0,42.26,1004,NOTES
DESIRE,A,123.05,123.68,53.94,0,0,109.16,1446,PEAK
AIR RAID FROM THA UNDAGROUND,N,47.83,60,11.18,0,0,16.77,592,PEAK
AIR RAID FROM THA UNDAGROUND,H,76.92,75.71,15.89,0,0,39.27,952,NOTES
AIR RAID FROM THA UNDAGROUND,A,96.07,91.42,13.54,0,0,68.99,1189,NOTES
AIR RAID FROM THA UNDAGROUND,L,123.06,127.63,19.42,0,0,109.43,1523,PEAK
Brazilian Fire,N,34.86,37.14,18.49,0,14.06,11,412,PEAK
Brazilian Fire,H,57.2,61.42,25.89,0,18.28,30.57,676,PEAK
Brazilian Fire,A,75.65,70,25.89,0,25.17,66.6,894,NOTES
One of A Kind,N,36.09,34.28,10.01,0,0,19.8,420,NOTES
One of A Kind,H,61.09,54.28,13.77,0,0,57.58,711,NOTES
One of A Kind,A,81.29,68.57,14.39,0,0,68.81,946,NOTES
Red. by Full Metal Jacket,N,41.19,38.57,101.94,0,0,6.4,517,SCRATCH
Red. by Full Metal Jacket,H,84.62,74.28,160.17,0,0,88.02,1062,SCRATCH
Red. by Full Metal Jacket,A,130.91,118.42,181.46,0,0,139.42,1643,SCRATCH
コスモス,N,41.4,37.14,17.78,0,0,17.63,458,NOTES
コスモス,H,68.88,58.57,19.1,0,0,48.32,762,NOTES
コスモス,A,94.83,84.28,18.44,0,0,100.07,1049,CHORD
かずあそび,N,21.65,28.57,5.35,0,0,1.6,265,PEAK
かずあそび,H,49.01,45.71,32.73,0,4.84,28.83,600,NOTES
かずあそび,A,69.6,67.14,48.8,0,5.78,67.12,852,NOTES
未来のプリズム,N,30.52,34.28,13.3,0,11.87,7.25,351,PEAK
未来のプリズム,H,60.96,57.14,13.94,0,13.9,29.24,701,NOTES
未来のプリズム,A,77.66,75.71,13.94,0,19.81,66.69,893,NOTES
Chocolate Dancing,N,20.39,21.42,22.95,0,0,2.2,233,SCRATCH
Chocolate Dancing,H,44.2,40,19.13,0,0,17.04,505,NOTES
Chocolate Dancing,A,63.37,55.71,30.61,0,0,49.06,724,NOTES
Keep it-秋葉工房mix-,N,44.72,44.28,24.38,0,0,13.11,521,NOTES
Keep it-秋葉工房mix-,H,74.41,77.14,30.64,0,0,28.18,867,PEAK
Keep it-秋葉工房mix-,A,80.85,81.42,33.14,0,0,35.07,942,PEAK
Dazzlin' Darlin-秋葉工房mix-,N,35.62,35.71,19.96,0,0,11.03,403,PEAK
Dazzlin' Darlin-秋葉工房mix-,H,67.8,61.42,21.89,0,0,26.64,767,NOTES
Dazzlin' Darlin-秋葉工房mix-,A,93.08,77.14,22.54,0,0,57.52,1053,NOTES
Hydrogen Blueback,N,45.33,38.57,14.61,0,0,12.51,520,NOTES
Hydrogen Blueback,H,75.15,68.57,29.85,0,0,51.95,862,NOTES
Hydrogen Blueback,A,102,95.71,44.46,0,0,86.7,1170,NOTES
Hydrogen Blueback,L,108.19,107.89,172.68,0,0,102.03,1241,SCRATCH
mosaic,N,71.48,70,27.63,0,0,41.11,754,NOTES
mosaic,H,98.13,97.14,49.04,0,0,100.06,1035,CHORD
mosaic,A,143.07,134.21,93.94,0,0,155.5,1509,CHORD
Empire State Glory,N,47.36,48.57,16.54,0,0,13.85,563,PEAK
Empire State Glory,H,78.07,64.28,20.84,0,0,21.51,928,NOTES
Empire State Glory,A,111.8,94.28,38.61,0,0,92.73,1329,NOTES
spiral galaxy -L.E.D. STYLE SPREADING PARTICLE BEAM MIX-,N,44.19,37.14,21.42,0,0,4.6,541,NOTES
spiral galaxy -L.E.D. STYLE SPREADING PARTICLE BEAM MIX-,H,88.72,72.85,30.95,0,0,21.45,1086,NOTES
spiral galaxy -L.E.D. STYLE SPREADING PARTICLE BEAM MIX-,A,103.75,88.57,31.54,0,0,57.18,1270,NOTES
DENJIN AKATSUKINI TAORERU -SF PureAnalogSynth Mix-,N,43.2,40,10.05,0,0,7.19,532,NOTES
DENJIN AKATSUKINI TAORERU -SF PureAnalogSynth Mix-,H,67.07,61.42,15.97,0,0,20.57,826,NOTES
DENJIN AKATSUKINI TAORERU -SF PureAnalogSynth Mix-,A,108.49,94.28,15.97,0,0,66.94,1336,NOTES
CaptivAte～裁き～(SUBLIME TECHNO MIX),N,38.45,44.28,38.57,0,0,18.49,523,PEAK
CaptivAte～裁き～(SUBLIME TECHNO MIX),H,61.54,61.42,47.14,0,0,41.73,837,NOTES
CaptivAte～裁き～(SUBLIME TECHNO MIX),A,90.51,92.85,49.28,0,0,100.99,1231,CHORD
bass 2 bass,N,35.62,30,18.43,0,0,5.4,366,NOTES
bass 2 bass,H,62.1,52.85,26.95,0,0,38.38,638,NOTES
bass 2 bass,A,94.42,87.14,153.46,0,0,99.14,970,SCRATCH
Special One,N,43.74,44.28,16.11,0,0,24.11,435,PEAK
Special One,H,62.14,57.14,22.71,0,0,33.68,618,NOTES
Special One,A,89.99,80,24.17,0,0,73.34,895,NOTES
Evans,N,57.17,58.57,15.25,0,0,25.45,628,PEAK
Evans,H,102.06,111.84,76.95,0,0,97.5,1121,PEAK
Evans,A,131.11,125,103.58,0,0,113.18,1440,NOTES
水上の提督 (Short mix from ”幻想水滸伝V”),N,28.75,28.57,14.08,0,0,4.8,357,NOTES
水上の提督 (Short mix from ”幻想水滸伝V”),H,69.91,62.85,15.84,0,0,42.31,868,NOTES
水上の提督 (Short mix from ”幻想水滸伝V”),A,86.42,105.26,15.84,0,0,68.16,1073,PEAK
eRAseRmOToRpHAntOM,N,53.91,55.71,47.91,28.33,0,34.45,787,PEAK
eRAseRmOToRpHAntOM,H,91.79,97.14,55.4,51.09,0,87.07,1340,PEAK
eRAseRmOToRpHAntOM,A,115.5,109.21,51.4,72.84,0,115.89,1686,CHORD
サヨナラ・ヘヴン,N,37.86,45.71,30.71,0,0,10.97,476,PEAK
サヨナラ・ヘヴン,H,56.4,60,29.55,0,0,34.35,709,PEAK
サヨナラ・ヘヴン,A,68.01,68.57,92.15,0,0,54.67,855,SCRATCH
quell～the seventh slave～,N,38.38,41.42,17.12,0,0,9.8,490,PEAK
quell～the seventh slave～,H,72.54,82.85,19.97,0,0,53.24,926,PEAK
quell～the seventh slave～,A,149.21,147.36,38.96,0,0,121.42,1646,NOTES
SOLID STATE SQUAD,N,39.22,54.28,59.91,0,0,22.87,539,SCRATCH
SOLID STATE SQUAD,H,86.46,91.42,66.81,0,0,73.93,1188,PEAK
SOLID STATE SQUAD,A,132.38,134.21,81.12,0,0,133.54,1819,PEAK
SOLID STATE SQUAD,L,135.94,140.78,82.71,0,120.72,146.26,1868,CHORD
The Story Begins,N,31.98,30,16.87,0,0,3.4,428,NOTES
The Story Begins,H,69.12,72.85,30.48,0,0,55.44,925,PEAK
The Story Begins,A,92.06,90,38.1,0,0,91.86,1232,NOTES
THE LAST STRIKER,N,55.59,52.85,14.04,0,0,22.97,721,NOTES
THE LAST STRIKER,H,76.72,72.85,14.04,0,0,49.52,995,NOTES
THE LAST STRIKER,A,102.33,110.52,14.04,0,0,90.64,1327,PEAK
Sorrows,N,34.86,37.14,25.4,0,0,7,410,PEAK
Sorrows,H,72.1,67.14,33.45,0,0,69.03,848,NOTES
Sorrows,A,105.52,103.94,42.12,0,0,115.5,1241,CHORD
Stay my side,N,30.51,37.14,12.31,0,3.28,19.49,325,PEAK
Stay my side,H,50.8,60,16.42,0,13.9,50.94,541,PEAK
Stay my side,A,63.66,81.42,16.42,0,34.06,77.9,678,PEAK
Watch Out Pt.2,N,52.48,58.57,121.35,0,0,28.84,599,SCRATCH
Watch Out Pt.2,H,90.16,91.42,157.06,0,0,76.14,1029,SCRATCH
Watch Out Pt.2,A,131.95,126.31,179.43,0,0,126.58,1506,SCRATCH
Tropical April,N,66.65,55.71,55.78,0,0,46.67,827,NOTES
Tropical April,H,94.61,88.57,58.13,0,0,93.64,1174,NOTES
Tropical April,A,112.42,119.73,59.89,0,0,122.06,1395,CHORD
perditus†paradisus,N,49.18,54.28,21.78,0,14.84,7.6,658,PEAK
perditus†paradisus,H,100.53,106.57,39.2,0,65.53,30.03,1345,PEAK
perditus†paradisus,A,154.26,151.78,22.87,0,122.76,131.61,2065,NOTES
THE DOOR INTO RAINBOW,N,32.37,40,34.02,0,6.4,5,409,PEAK
THE DOOR INTO RAINBOW,H,69.09,67.14,49.59,0,40.31,44.13,873,NOTES
THE DOOR INTO RAINBOW,A,88.88,100,49.01,0,81.15,66.51,1123,PEAK
XANADU OF TWO,N,37.82,34.28,19.64,0,0,5.05,505,NOTES
XANADU OF TWO,H,66.07,58.57,17.46,0,0,46.37,882,NOTES
XANADU OF TWO,A,103.52,94.28,24.55,0,0,105.08,1382,CHORD
ELECTRIC MASSIVE DIVER,N,49.04,45.71,33.23,0,27.01,24.79,688,NOTES
ELECTRIC MASSIVE DIVER,H,92.03,88.57,35.83,0,48.98,85.88,1291,NOTES
ELECTRIC MASSIVE DIVER,A,134.23,114.47,35.83,0,109.75,154.57,1883,CHORD
THE BLACK KNIGHT,N,36.72,40,14.8,0,8.43,8.51,470,PEAK
THE BLACK KNIGHT,H,83.38,84.28,13.09,0,92,57.77,1067,CHARGE
THE BLACK KNIGHT,A,116.28,123.68,13.09,0,143.01,98.95,1488,CHARGE
PARADISE LOST,N,54.41,52.85,56.24,0,11.4,16,726,SCRATCH
PARADISE LOST,H,91.21,103.94,76.99,0,53.75,65.71,1217,PEAK
PARADISE LOST,A,128.77,139.47,84.09,0,165.27,117.81,1718,CHARGE
Never Fade Away,N,31.95,32.85,26.9,0,0,9.85,398,PEAK
Never Fade Away,H,72.81,72.85,32.17,0,0,40.12,907,PEAK
Never Fade Away,A,123.23,113.15,42.69,0,0,113.98,1535,NOTES
おおきなこえで,N,17.98,20,8.54,0,0,1.4,230,PEAK
おおきなこえで,H,39.24,40,13.67,0,0,28.73,502,PEAK
おおきなこえで,A,58.94,60,13.1,0,0,59.48,754,PEAK
おおきなこえで,L,85.6,82.85,11.39,0,83.9,90.59,1095,CHORD
Destiny Sword,N,42.36,40,44.09,0,0,12,455,SCRATCH
Destiny Sword,H,85.94,67.14,52.23,0,0,52.02,923,NOTES
Destiny Sword,A,112.94,84.28,56.98,0,0,88.78,1213,NOTES
Aegis,N,41.75,42.85,51.69,0,8.75,10.6,459,SCRATCH
Aegis,H,65.22,65.71,68.92,0,28.31,35.72,717,SCRATCH
Aegis,A,109.33,109.21,70.91,0,89,100.53,1202,NOTES
ZETA～素数の世界と超越者～,N,22.68,27.14,4.84,35.66,0,8.6,307,SOFLAN
ZETA～素数の世界と超越者～,H,81.06,71.42,15.61,100.07,0,58.45,1097,SOFLAN
ZETA～素数の世界と超越者～,A,116.98,110.52,29.61,111.69,0,112.59,1583,NOTES
旅人リラン,N,46.7,48.57,7.63,0,0,15.03,579,PEAK
旅人リラン,H,80.49,80,14.69,0,0,59.94,998,NOTES
旅人リラン,A,108.48,115.78,23.5,0,0,107.95,1345,PEAK
La Mar,N,27.21,27.14,8.23,0,0,2.8,337,NOTES
La Mar,H,49.42,51.42,15.88,0,0,36.33,612,PEAK
La Mar,A,74.06,71.42,49.42,0,0,73.64,917,NOTES
Dances with Snow Fairies,N,57.7,54.28,27.16,0,0,19.23,743,NOTES
Dances with Snow Fairies,H,90.47,78.57,36.77,0,0,41.11,1165,NOTES
Dances with Snow Fairies,A,126.04,142.1,39.04,0,0,115.3,1623,PEAK
I FIGHT ME,N,25.3,25.71,1.75,0,0,0,315,PEAK
I FIGHT ME,H,57.67,58.57,4.09,0,0,31.25,718,PEAK
I FIGHT ME,A,85.78,94.28,5.85,0,0,92.61,1068,PEAK
I FIGHT ME,L,115.66,122.36,26.33,0,102.36,127.55,1440,CHORD
Vermillion,N,29.69,35.71,15.9,0,5,4.6,272,PEAK
Vermillion,H,65.28,55.71,20.68,0,41.09,19.99,598,NOTES
Vermillion,A,114.08,100,42.15,0,0,77.54,1045,NOTES
Kailua,N,23.16,28.57,9.44,0,46.79,3.59,268,CHARGE
Kailua,H,61.19,71.42,13.85,0,158.07,25.95,708,CHARGE
Kailua,A,97.23,102.63,30.85,0,197.62,75.96,1125,CHARGE
Bounce Bounce Bounce,N,41.78,40,45.12,0,0,22.4,560,SCRATCH
Bounce Bounce Bounce,H,67.83,64.28,85.35,0,0,50.34,909,SCRATCH
Bounce Bounce Bounce,A,96.48,94.28,102.87,0,0,102.59,1293,SCRATCH
Mermaid girl,N,40.34,40,19.98,0,0,9.31,500,NOTES
Mermaid girl,H,69.07,82.85,44.09,0,0,69.89,856,PEAK
Mermaid girl,A,89.8,92.85,45.26,0,0,105.62,1113,CHORD
passionate fate,N,51.3,52.85,52.67,0,0,33.18,589,PEAK
passionate fate,H,72.47,72.85,75.52,0,0,71.57,832,SCRATCH
passionate fate,A,93.64,91.42,78.06,0,0,104.47,1075,CHORD
Golden Palms,N,30.1,28.57,16.87,0,27.03,6,377,NOTES
Golden Palms,H,60.53,60,50.61,0,63.81,38.04,758,CHARGE
Golden Palms,A,82.73,81.42,50.03,0,118.15,76.84,1036,CHARGE
Golden Palms,L,99.02,94.28,55.27,0,174.27,100.5,1240,CHARGE
New Castle Legions,N,41.15,37.14,25.18,63.46,0,3.8,512,SOFLAN
New Castle Legions,H,82.55,71.42,33.96,111.85,0,51.48,1027,SOFLAN
New Castle Legions,A,103.45,80,46.85,119.35,0,65.82,1287,SOFLAN
BLUST OF WIND,N,34.64,30,7.68,0,4.68,8.51,427,NOTES
BLUST OF WIND,H,65.72,57.14,11.23,0,13.14,46.43,810,NOTES
BLUST OF WIND,A,87.63,72.85,18.32,0,32.42,78.69,1080,NOTES
BROKEN EDEN,N,47.82,47.14,11.57,0,0,8.09,542,NOTES
BROKEN EDEN,H,80.91,72.85,16.07,0,0,23.8,917,NOTES
BROKEN EDEN,A,104.29,87.14,34.07,0,0,71.09,1182,NOTES
かげぬい ～ Ver.BENIBOTAN ～,N,36.37,37.14,11.18,0,2.96,4,450,PEAK
かげぬい ～ Ver.BENIBOTAN ～,H,58.03,60,17.66,0,11.23,25.96,718,PEAK
かげぬい ～ Ver.BENIBOTAN ～,A,79.21,67.14,36.51,0,35.18,69.96,980,NOTES
Rock Da House,N,41.79,34.28,39.39,0,0,8.65,456,NOTES
Rock Da House,H,76.61,64.28,35.39,0,0,41.93,836,NOTES
Rock Da House,A,103.38,91.42,48.07,0,0,88.02,1128,NOTES
灼熱Beach Side Bunny,N,44.33,47.14,105.14,0,0,16.97,564,SCRATCH
灼熱Beach Side Bunny,H,80.58,80,172.01,0,0,74.95,1025,SCRATCH
灼熱Beach Side Bunny,A,135.14,119.73,198.85,0,0,138.2,1719,SCRATCH
Answer,N,30.54,34.28,19.81,0,0,12.4,393,PEAK
Answer,H,58.13,60,31.7,0,0,49.62,748,PEAK
Answer,A,95.12,84.28,39.06,0,0,88.42,1224,NOTES
WISE UP!,N,23.7,25.71,8.32,0,0,5.2,249,PEAK
WISE UP!,H,56.73,48.57,16.64,0,0,35.32,596,NOTES
WISE UP!,A,76.43,71.42,17.33,0,0,65.81,803,NOTES
WISE UP!,L,125.65,109.21,17.33,0,0,125.7,1320,CHORD
ラクエン Feat.Chiharu Chonan -JAKA respect for K.S.K. Remix,N,44.59,44.28,27.02,58.35,0,11.67,577,SOFLAN
ラクエン Feat.Chiharu Chonan -JAKA respect for K.S.K. Remix,H,66.77,62.85,55.74,71.14,0,29.85,864,SOFLAN
ラクエン Feat.Chiharu Chonan -JAKA respect for K.S.K. Remix,A,101,102.63,77.7,93.47,0,98.23,1307,PEAK
夕焼け ～Fading Day～,N,42.64,44.28,33.9,0,0,5.2,504,PEAK
夕焼け ～Fading Day～,H,90.28,82.85,39.45,0,0,43.18,1067,NOTES
夕焼け ～Fading Day～,A,120.15,102.63,46.23,0,0,100.96,1420,NOTES
Believe In Me,N,43.54,44.28,28.57,0,0,8.8,533,PEAK
Believe In Me,H,78.59,84.28,33.33,0,0,65.5,962,PEAK
Believe In Me,A,99.1,97.14,33.33,0,0,84.06,1213,NOTES
Let The Track Flow,N,48.02,50,20.83,0,0,12.17,571,PEAK
Let The Track Flow,H,79.3,72.85,20.22,0,0,27.97,943,NOTES
Let The Track Flow,A,114.96,113.15,28.79,0,0,88.05,1367,NOTES
Energy Drive,N,35.35,40,14.37,0,18.75,4.25,448,PEAK
Energy Drive,H,60.21,65.71,17.82,0,65.15,19.33,763,PEAK
Energy Drive,A,88.54,103.94,20.69,0,126.48,72.31,1122,CHARGE
Hardcore Mania,N,44.1,42.85,18.39,0,0,6.2,489,NOTES
Hardcore Mania,H,71.06,70,32.19,0,0,21.59,788,NOTES
Hardcore Mania,A,99.29,95.71,32.19,0,0,59.43,1101,NOTES
Breaking the ground,N,43.13,42.85,14.71,0,0,20.61,598,NOTES
Breaking the ground,H,64.85,65.71,28.9,0,0,66.24,899,CHORD
Breaking the ground,A,91.9,90,92.5,0,0,117.82,1274,CHORD
Programmed Sun (xac Antarctic Ocean mix),N,30.08,35.71,12.55,0,0,3.2,384,PEAK
Programmed Sun (xac Antarctic Ocean mix),H,60.08,61.42,11.98,0,0,20.91,767,PEAK
